dataset_name,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
1,5,15551,3111,3110,0.3999999999999999,5.0993663186638845,4.823151125401929,5.659163987138264,0.3414844447396309,5.0993663186638845,4.823151125401929,5.659163987138264,0.3414844447396309,3,2,1,0.1666666666666666,1.054088783561703,0.0242677594431339,4.5289826399261095,1.0212400802259969,4.753146573551687,0.1166139065419065,24.27304676823625,6.73870543176528,1.0,1,1,0,0.6,0,1,0.4898979485566356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.6730116670092565
202,5,7881,1577,1576,0.4,4.986673919831074,4.251269035532995,5.774111675126903,0.4891649948952195,4.986673919831074,4.251269035532995,5.774111675126903,0.4891649948952195,2,1,1,1.0,0.7611358918288718,0.0038536127023408,1.7952003906215102,,1.13771501998817,0.5402775309035373,1.6678041487249655,,1.0,1,1,0,0.6,0,1,0.4898979485566356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.6730116670092565
29,5,19440,3888,3888,0.0,5.020576131687243,4.938271604938271,5.22119341563786,0.1021061380724237,5.020576131687243,4.938271604938271,5.22119341563786,0.1021061380724237,6,5,1,0.1666666666666666,0.3476871081981864,0.0290519029637735,0.8828833017155848,0.1033370101504368,0.8883498674792957,0.1529970889544807,2.2505124175012057,0.1911586472779915,1.0,1,1,0,1.8,1,5,1.6000000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.5004024235381879
341,5,11661,2333,2332,0.3999999999999999,5.008087408713374,4.716981132075472,5.7008144020574365,0.3623210053102642,5.008087408713374,4.716981132075472,5.7008144020574365,0.3623210053102642,3,3,0,0.5,0.0396538396481966,0.0114368453668737,0.1187263727207928,0.0233450435244254,0.7649850440449466,0.4919698276567317,1.200587268222903,0.0181918731962691,0.0,0,0,0,3.0,3,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
342,5,1080,216,216,0.0,4.814814814814815,0.9259259259259258,6.481481481481481,1.998799365270639,4.814814814814815,0.9259259259259258,6.481481481481481,1.998799365270639,5,5,0,6.0,0.10539046611810772,0.00011358298824642906,0.2786377606227531,0.007761178156067826,0.18292358228448197,0.028469992113665743,0.3215784323975255,0.009694145274173373,0.0,0,0,0,3.0,0,5,2.449489742783178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.6730116670092565
